name,ring,quadrant,isNew,description
.NET Framework,hold,languages & frameworks,TRUE,"<p>We still maintian .NET Framework projects, but feature development stopped at version 4.8. We build new C# projects with a current version of .NET.</p>"
ASP.NET,adopt,languages & frameworks,TRUE,"<p>A cross-platform and open source framework for building Web applications and Web APIs.</p><p>As we've moved toward cloud-native architectures and begun to build rich user interfaces with Vue.js, we've moved away from Razor views but continue to find ASP.NET an excellent framework for building back-end APIs for those apps.</p>"
C#,adopt,languages & frameworks,TRUE,"<p>Our preferred language for the application development teams; with most of our codebase in C#, we benefit from having a significant body of experience and tooling to support writing, building and deploying software writtten in C# and .NET.<p>"
Coypu,hold,languages & frameworks,TRUE,"<p>Coypu is an open source project that provides a wrapper around Selenium with the aim of simplifying interaction with the browser DOM.</p><p>It's been used in several QA automation projects, but development on Coypu has slowed, and our QA team has developed an internal framework that provides similar benefits.</p>"
Hangfire,hold,languages & frameworks,TRUE,"<p>Background job runner with persistent storage.</p><p>This library is very useful for scenarios that involve polling for incoming jobs, especially where large workloads are involved that may need to be paused and restarted.</p><p>However, we're increasingly focused on being cloud-native, and we believe there are better approaches through technologies like Lambda functions, Fargate tasks and SQS.</p>"
HyperApp,hold,languages & frameworks,TRUE,"<p>A lightweight UI framework with similarities to React. HyperApp generally benchmarks faster than Vue or React, but adoption and awareness are far below that of Vue, Angular and React. Although we have some experience with it from projects at the RSC, its relatively small user community means we've settled on 'hold' for this blip.</p>"
JavaScript,adopt,languages & frameworks,TRUE,"<p>As the programming language supported by all major Web browsers, and also supported in some AWS use cases that do not offer support for .NET such as Lambda@Edge, JavaScript is unavoidable for us.</p><p>We prefer JavaScript to TypeScript. However, C# remains our preferred choice when it's an option.</p>"
JSON,adopt,languages & frameworks,TRUE,"<p>Although we're often limited to XML due to its broad adoption within the publishing industry, JSON is our default choice for information interchange and document storage.</p>"
NuxtJS,trial,languages & frameworks,TRUE,<p>See: <i>serverless-side rendering</i>.</p>
Powershell,adopt,languages & frameworks,TRUE,"<p>Microsoft's open-source, cross-platform command-line shell and scripting engine built on .NET. We find this is the best choice for scripting on Windows due to its powerful language features and the ease with which it can call .NET libraries. As we move toward GitHub Actions, its cross-platform support gives us some leeway to include scripts in our CI/CD pipelines that can run on both Windows and Linux runners.</p>"
Python,assess,languages & frameworks,TRUE,"<p>We try to balance using best-of-breed tools against a proliferation of technology stacks. By standardising on C# and JavaScript, we cover everything from back-end data processing to single-page apps. Our decision to put Python into the <i>Assess</i> ring is due in part to its extensive use by our data scientists, and also because we feel that the range of scientific libraries written for Python may make it the right choice in certain circumstances.</p>"
Razor,hold,languages & frameworks,TRUE,"<p>We maintain applications build with Razor views and have recently used them in new development. But modern UI frameworks like VueJS make much richer user experiences possible and are where front-end developers tend to have experience. Meanwhile, frameworks like NuxtJS allow us to cover SEO and latency concerns.</p>"
React,hold,languages & frameworks,TRUE,"<p>The front-end developers discussed UI framework choices at length and ran parallel spikes as part of an assessment to determine our preferred choice. While React has the largest user community, we found VueJS slightly easier to work with and we already have Vue applications in our estate. Based on our investigation, we found it unlikely we'd encounter a use case that would warrant switching to React.</p>"
REST,adopt,languages & frameworks,TRUE,"<p>Our preferred architectural style for machine-machine interfaces based on its ubiquity, readability, performance and scalability. We also discussed GraphQL, but we haven't identified a need for it in our estate yet.</p>"
Sass,trial,languages & frameworks,TRUE,"<p>We have some Sass in our applications, but we would prefer to use native CSS. Frameworks like Sass and Less are becoming less relevant as the enhancements they provide are gradually becoming standard features of CSS.</p>"
