name,ring,quadrant,isNew,description
.NET Framework,Hold,languages & frameworks,TRUE,"<p>We still maintain some .NET Framework code, but feature development stopped at version 4.8. We build new C# projects with a current version of .NET.</p>"
ASP.NET Minimal APIs,Adopt,languages & frameworks,FALSE,"<p>A lightweight successor to Controller classes. ASP.NET Minimal APIs provide a more declarative syntax for web applications, allowing for more inline code and smaller projects.</p>
<p>These are now in broad use at the RSC.</p>"
ASP.NET MVC,Hold,languages & frameworks,FALSE,"<p>We use this blip to refer to web application development using ASP.NET Core MVC.</p>
<p>As front-end frameworks like Vue.js enable more contemporary UI designs that provide a better user experience than server-side applications, we no longer develop MVC Web applications, even for internal applications.</p>
<p>See also: ASP.NET Razor pages.</p>"
ASP.NET Razor pages,Hold,languages & frameworks,FALSE,"<p>An ASP.NET framework for building views within ASP.NET Core MVC.</p>
<p>The Merck Index Online is the most recently developed application in our estate built using Razor views, albeit a hybrid approach that uses ASP.NET only to pre-render content. This approach was chosen mainly to minimise page load times and improve SEO, but we now use frameworks like NuxtJS to deliver single-page apps that load quickly on the first page view and also work well with search engines.</p>"
Blazor,Hold,languages & frameworks,FALSE,"<p>Blazor is framework for building interactive Web applications using .NET, with the option to compile to WebAssembly to run code in the browser.</p>
<p>Although one of our internal applications uses Blazor, Vue is our first choice for UI development and is the framework used to build our shared UI component library. With this mind, and with its relatively small developer community, we'd be unlikely to move to a Blazor for UI work.</p>"
GraphQL,Assess,languages & frameworks,FALSE,"<p>A query language and runtime that enables API clients to request specific data from a server by defining the structure of the desired response.</p>
<p>Well suited to large and complicated data structures, where its declarative data operations can make API calls much more efficient than could be achieved with REST APIs. We consume GraphQL services from Salesforce.</p>
<p>When compared to REST, GraphQL is slightly more complicated as a consumer, but requires much greater engineering effort to implement in a service, especially where partial object updates need to be supported. We're not currently planning or building any services that would especially benefit by offering GraphQL services.</p>"
Hangfire,Hold,languages & frameworks,FALSE,"<p>Background job runner with persistent storage.</p>
<p>This library is very useful for scenarios that involve polling for incoming jobs, especially where large workloads are involved that may need to be paused and restarted.</p>
<p>However, we're increasingly focused on being cloud-native, and we believe there are better approaches through technologies like Lambda functions, Fargate tasks and SQS.</p>"
HyperApp,Hold,languages & frameworks,FALSE,"<p>A lightweight UI framework with similarities to React. HyperApp generally benchmarks faster than Vue or React, but adoption and awareness are far below that of Vue, Angular and React. Although we have some experience with it from projects at the RSC, its relatively small user community means we've settled on 'hold' for this blip.</p>"
JSON,Adopt,languages & frameworks,FALSE,"<p>Although we're often limited to XML due to its broad adoption within the publishing industry, JSON is our default choice for information interchange and document storage.</p>"
NodeJS,Adopt,languages & frameworks,FALSE,"<p>Node is currently our second framework of choice after .NET. We typically use it for Lambda@Edge functions and NuxtJS in production. In development, it's essential for local Vue servers and package management via NPM.</p>"
